,std,mean,median,max,min
ADRA1D (146),1637.8550773496415,1804.0448,1330.0,8992.0,14.0
ADRA2B (151),1833.2734667003972,4620.3232,4576.0,9250.0,206.0
ADRB2 (154),1937.0777184810881,2919.448,2485.0,8660.0,55.0
ADRM1 (11047),1188.6106894336335,8338.7424,8630.0,10145.0,1104.0
ADSL (158),796.2608988104081,9528.964,9672.0,10526.0,4937.0
ADSS (159),2030.9851813331559,7439.464,8071.0,10276.0,6.0
ADSSL1 (122622),1756.0580278143664,5649.168,5958.0,9003.0,230.0
ADTRP (84830),1509.283539795434,2042.1104,1720.0,9471.0,35.0
AEBP1 (165),1460.909375512916,6378.408,6695.0,9154.0,264.0
AEBP2 (121536),2005.5378857272128,3966.3584,3902.0,9161.0,171.0
AES (166),1831.4260390954703,5634.7776,5936.0,9671.0,163.0
AFDN (4301),2335.118698099817,4970.7456,5127.0,10012.0,2.0
AFF3 (3899),1765.6180523864216,5644.6768,5928.0,9203.0,303.0
AFF4 (27125),2078.247241508069,3175.2352,2935.0,9099.0,24.0
AFG3L2 (10939),399.6941159475292,9695.3248,9730.0,10463.0,6073.0
AFM (173),1488.1473344603817,1825.6064,1431.0,8674.0,17.0
AFMID (125061),1753.5278379444549,3068.0544,2775.0,8876.0,76.0
AFTPH (54812),1925.5941464669268,2695.8544,2318.0,9207.0,2.0
AGAP1 (116987),1960.3936370718495,4765.8528,5005.0,9107.0,64.0
AGAP2 (116986),1516.3783090877405,6997.0032,7364.0,9405.0,1145.0
AGAP5 (729092),639.658000368867,8729.456,8876.0,9865.0,2792.0
AGAP6 (414189),505.68953090475054,9167.824,9256.0,10240.0,5000.0
AGAP9 (642517),1746.0219514700793,6382.9792,6816.0,9078.0,319.0
AGBL2 (79841),1896.369941786892,3942.0736,3953.0,8787.0,57.0
AGBL3 (340351),1773.0991380703001,3581.1728,3300.0,8582.0,105.0
AGBL4 (84871),1653.4933663067754,6831.4544,7343.0,9295.0,287.0
AGBL5 (60509),1787.562777380678,4975.296,5148.0,8630.0,292.0
AGFG1 (3267),1949.7525844512577,2517.6416,1968.0,9307.0,24.0
AGFG2 (3268),1648.483094689455,5641.6592,5913.0,8961.0,112.0
AGL (178),1701.2256778449396,4340.7904,4402.0,9386.0,250.0
AGMAT (79814),1806.4565871808907,4968.5536,5088.0,8702.0,184.0
AGO1 (26523),1244.8257563003417,7025.2464,7346.0,9290.0,1311.0
AGO2 (27161),2483.602494955406,5113.704,5423.0,9449.0,45.0
AGO3 (192669),1863.7429565217988,3991.5104,3987.0,9094.0,136.0
AGPAT1 (10554),2138.5419805631054,3206.2688,2767.0,10170.0,90.0
AGPAT2 (10555),2014.7836483418366,2926.5376,2514.0,9188.0,57.0
AGPAT3 (56894),1806.9503156182298,2340.3704,1829.0,8581.0,3.5
AGPAT5 (55326),1721.1772438832493,1215.3568,554.0,9257.0,5.0
AGPS (8540),1807.7389967070426,2190.3536,1783.0,9492.0,4.0
AGR2 (10551),1586.2072974220212,2222.7824,1811.0,8760.0,63.0
AGRN (375790),1505.6260306664842,6252.4032,6498.0,8972.0,1146.0
AGT (183),1748.6026790980043,3263.1232,3111.0,8940.0,54.0
AGTR1 (185),1952.8509365737373,4217.6928,4192.0,9405.0,322.0
AGXT (189),1816.5503239650247,3609.3824,3482.0,8888.0,83.0
AGXT2 (64902),1843.6208608897039,2405.9232,2059.0,9068.0,16.0
AHCTF1 (25909),290.4423503589848,9661.7904,9694.0,10343.0,8241.0
AHCY (191),531.6830807867332,9413.2016,9454.0,10352.0,4272.0
AHCYL1 (10768),2039.6685926721855,7504.1744,8090.0,10331.0,47.0
AHDC1 (27245),2038.2120711759067,4330.0896,4411.0,8863.0,157.0
AHNAK (79026),1844.4604046642908,5205.2992,5412.0,9303.0,32.0
AHNAK2 (113146),1098.9529940205207,714.5568,247.0,8587.0,1.0
AHR (196),2749.401362522581,2636.3984,1525.0,9504.0,1.0
AHRR (57491),1938.0441023599817,5162.704,5338.0,9393.0,212.0
AHSA1 (10598),2009.0968911390548,4473.0304,4485.0,9304.0,80.0
AICDA (57379),1533.8754193837724,2147.0624,1835.0,8502.0,98.0
AIF1 (199),1537.5851513514335,6001.4272,6263.0,9190.0,206.0
AIF1L (83543),1673.2759587998137,5934.7088,6259.0,9231.0,143.0
AIFM1 (9131),980.6265405364185,9129.415807560137,10033.0,,
AIFM2 (84883),1867.9286569764506,3883.4368,3769.0,9001.0,22.0
AIFM3 (150209),2009.0254154280622,5248.6672,5451.0,9961.0,139.0
AIG1 (51390),1863.1404035384546,3573.0128,3564.0,8955.0,14.0
AIM2 (9447),1618.9161727051076,2036.5792,1594.0,8977.0,23.0
AIMP1 (9255),1941.3956795761453,3790.8816,3726.0,8952.0,14.0
AIMP2 (7965),1630.4202251110853,5924.0112,6169.0,8918.0,385.0
AIP (9049),2283.9579996273,6221.2336,6714.0,9653.0,66.0
AIPL1 (23746),1647.5529996642183,3281.2704,3117.0,8584.0,133.0
AJM1 (389813),1826.0688255389305,5890.9872,6205.0,9004.0,369.0
AJUBA (84962),2352.9469881929244,4077.5008,4252.0,8703.0,3.0
AK1 (203),1526.4508621719995,6148.2176,6375.0,9529.0,530.0
AK2 (204),2199.4567519637603,2308.4448,1509.0,8898.0,13.0
AK3 (50808),1182.388934149842,1392.0784,1046.0,8799.0,7.0
AK4 (205),1767.081467304863,6096.3552,6400.0,9351.0,379.0
AK6 (102157402),803.6308196537984,9524.6688,9662.0,10518.0,1945.0
AK7 (122481),1677.0845718289424,3677.9152,3622.0,9114.0,228.0
AKAP10 (11216),2059.917662251676,3553.528,3437.0,8990.0,27.0
AKAP13 (11214),1929.1918704247175,2905.6128,2682.0,9645.0,12.0
AKAP17A (8227),2148.9907115527208,3165.8865979381444,8664.0,,
AKAP7 (9465),1909.5039629745168,4075.96,4007.0,9101.0,94.0
AKAP8L (26993),1894.7001137477923,4682.4576,4712.0,9179.0,48.0
AKIP1 (56672),1808.9568743523616,3381.8416,3151.0,9556.0,124.0
AKIRIN1 (79647),1613.4706296739687,7153.544,7657.0,9975.0,1155.0
AKIRIN2 (55122),424.24625437205447,9409.0432,9441.0,10404.0,5467.0
AKNA (80709),1850.863174385788,3105.1552,2873.0,8688.0,35.0
AKR1C1 (1645),1595.1988158654272,4516.1936,4593.0,8644.0,346.0
AKR7A3 (22977),1131.0197185068357,7265.8384,7497.0,9137.0,110.0
AKR7L (246181),1762.7121699783386,4957.3936,5147.0,8609.0,272.0
AKT1 (207),2296.0945050605455,2765.3792,2047.0,9634.0,7.0
AKT2 (208),2220.0435483462584,4717.2608,4766.0,9426.0,69.0
AKTIP (64400),1896.0479748920666,3999.2592,4021.0,9062.0,20.0
ALAD (210),2486.634499809135,3887.824,3745.0,9932.0,26.0
ALAS1 (211),2414.1902939749957,4111.0576,3778.0,9688.0,25.0
ALDH18A1 (5832),1578.6152435973588,6850.5776,7116.0,10248.0,1540.0
ALDH1B1 (219),1881.1238862105267,3392.7808,3211.0,8430.0,11.0
ALDH1L1 (10840),1924.9692083091777,3811.1568,3694.0,8820.0,29.0
ALDH3A1 (218),1833.0329117556748,3895.5712,3722.0,8979.0,30.0
ALDH3B2 (222),2059.5095629934663,4552.8016,4608.0,9147.0,86.0
ALDH5A1 (7915),1806.2478274702576,3130.9776,2860.0,8863.0,105.0
